Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,SEO Title,SEO Description,Status
pip-the-storyteller-bear,Pip the Storyteller Bear,"<p><strong>Meet Pip — the bear with a thousand bedtime stories.</strong></p><p>Squeeze Pip's paw and he spins a brand-new tale every night, starring your child as the hero. Pip remembers favorite characters, adjusts stories to your child's age, and always lands on a gentle, sleepy ending.</p><ul><li>🧸 Ultra-soft, machine-washable plush (35 cm)</li><li>📖 Endless original stories — no two nights the same</li><li>🌙 Bedtime mode: calmer voice, slower pace, sleepy endings</li><li>🔇 Parent controls: volume, time limits, topic filters</li><li>🔒 No camera. Audio processed with strict privacy controls.</li></ul><p><em>Ages 3–8 · USB-C rechargeable · Wi-Fi required for new stories</em></p>",AI Toys Fun,Talking Companion,"talking-companions,story-time,ages-3-5,ages-6-8,bestseller",TRUE,Title,Default Title,ATF-PIP-001,deny,manual,79.00,99.00,TRUE,TRUE,Pip the Storyteller Bear — AI Bedtime Stories Plush,A cuddly AI storyteller bear that invents a new bedtime story every night starring your child. Ages 3-8. Parent-controlled and privacy-first.,active
robo-rex-coding-dino,Robo-Rex the Coding Dino,"<p><strong>The dinosaur that teaches your kid to code — no screen required.</strong></p><p>Kids snap colorful command tiles together (forward, turn, roar, dance) and Robo-Rex acts them out. As skills grow, unlock loops, if-then tiles, and treasure-hunt missions.</p><ul><li>🦖 Screen-free coding with 48 physical command tiles</li><li>🧠 3 difficulty levels: ages 4-6, 6-8, 8-10</li><li>🗺️ 20 mission cards from first-steps to logic puzzles</li><li>🔊 Big personality: jokes, roars and victory dances</li><li>🔋 8h play per charge</li></ul><p><em>Ages 4–10 · No app or Wi-Fi needed</em></p>",AI Toys Fun,STEM Robot,"learn-through-play,ages-3-5,ages-6-8,ages-9-12,coding,bestseller",TRUE,Title,Default Title,ATF-REX-001,deny,manual,119.00,149.00,TRUE,TRUE,Robo-Rex Coding Dino — Screen-Free Coding Toy Ages 4-10,Screen-free coding dinosaur: kids snap command tiles and Robo-Rex acts them out. Loops and logic for ages 4-10. No app needed.,active
luna-language-owl,Luna the Language Owl,"<p><strong>The gentle owl that makes your child bilingual through play.</strong></p><p>Luna chats, sings and plays word games in 8 languages, gliding between your home language and the one you're learning at exactly your child's pace.</p><ul><li>🦉 8 languages: Spanish, French, Hindi, Mandarin, German, Japanese, Arabic, English</li><li>🎵 Learns through songs, silly games and everyday phrases</li><li>📈 Weekly progress notes to the parent app</li><li>🔒 No camera, parent-managed content, COPPA-conscious design</li></ul><p><em>Ages 3–9 · Wi-Fi required</em></p>",AI Toys Fun,Talking Companion,"talking-companions,learn-through-play,languages,ages-3-5,ages-6-8",TRUE,Title,Default Title,ATF-LUNA-001,deny,manual,89.00,,TRUE,TRUE,Luna the Language Owl — AI Language Learning Toy for Kids,A plush AI owl that teaches kids up to 8 languages through songs and games. Ages 3-9. Parent progress reports included.,active
echo-the-question-bot,Echo the Question Bot,"<p><strong>For the kid who asks 400 questions a day. Echo answers every single one.</strong></p><p>Why is the sky blue? Do fish sleep? What's the biggest number? Echo gives real, age-perfect answers that end with a curious question back — turning every 'why' into a conversation.</p><ul><li>🤖 Answers tuned to your child's age (set 4-12)</li><li>🔍 'Wonder mode': daily amazing fact + experiment to try</li><li>🛡️ Kid-safe answer filters, fully parent-configurable</li><li>📵 A screen-free alternative to handing over a phone</li></ul><p><em>Ages 4–12 · Wi-Fi required</em></p>",AI Toys Fun,Talking Companion,"talking-companions,learn-through-play,ages-3-5,ages-6-8,ages-9-12",TRUE,Title,Default Title,ATF-ECHO-001,deny,manual,69.00,,TRUE,TRUE,Echo the Question Bot — Kid-Safe AI Answer Companion,The screen-free AI companion that answers every why-question with age-perfect explanations. Ages 4-12 with full parent controls.,active
maestro-music-cube,Maestro the Music Cube,"<p><strong>A band in a box — your child is the conductor.</strong></p><p>Tap, shake and stack Maestro's faces to build beats, melodies and whole songs. Maestro listens to what kids hum and turns it into real music in any style, from lullaby to dance-party.</p><ul><li>🎵 Hum a tune → hear it as piano, guitar, orchestra or robot-funk</li><li>🥁 Beat-maker mode with 6 tappable faces</li><li>🎤 Record and replay your child's compositions</li><li>🎧 Quiet-time headphone jack (parent-favorite feature)</li></ul><p><em>Ages 4–10 · No Wi-Fi needed after setup</em></p>",AI Toys Fun,Creative Toy,"creative-play,music,ages-3-5,ages-6-8",TRUE,Title,Default Title,ATF-MSTR-001,deny,manual,59.00,74.00,TRUE,TRUE,Maestro Music Cube — AI Music Maker Toy for Kids,Hum a tune and hear it become real music. Beat-making AI music cube for ages 4-10 with record and replay.,active
sketchbot-drawing-buddy,SketchBot Drawing Buddy,"<p><strong>Draw one line. SketchBot imagines the rest — then teaches your kid to finish it.</strong></p><p>Kids doodle on the included doodle-pad, show it to SketchBot, and it suggests what the doodle could become — then guides them stroke by stroke with encouragement, not judgment.</p><ul><li>🎨 Turns any scribble into a step-by-step drawing lesson</li><li>🖍️ 'Silly mode': what ELSE could this doodle be?</li><li>🏅 Celebrates effort, adapts to skill level</li><li>🔒 On-device image processing — drawings never leave the toy</li></ul><p><em>Ages 5–12 · Includes doodle pad + 3 pens</em></p>",AI Toys Fun,Creative Toy,"creative-play,art,ages-3-5,ages-6-8,ages-9-12",TRUE,Title,Default Title,ATF-SKCH-001,deny,manual,94.00,,TRUE,TRUE,SketchBot Drawing Buddy — AI Art Teacher Toy for Kids,SketchBot turns any scribble into a step-by-step drawing lesson. Encouraging AI art buddy for ages 5-12. On-device privacy.,active
captain-cosmo-space-explorer,Captain Cosmo Space Explorer,"<p><strong>A pocket-size mission control for young astronauts.</strong></p><p>Captain Cosmo runs nightly 'missions': find the Moon's phase, spot a constellation, learn why Mars is red. Point its star-finder at the sky and Cosmo tells you what you're looking at.</p><ul><li>🚀 200+ guided space missions, updated with real sky events</li><li>🔭 Point-at-the-sky star and planet identification</li><li>🌌 Mission log tracks every discovery</li><li>👨‍🚀 Astronaut-voice storytelling that makes physics exciting</li></ul><p><em>Ages 6–12 · Works offline; sky events update on Wi-Fi</em></p>",AI Toys Fun,STEM Toy,"learn-through-play,space,ages-6-8,ages-9-12",TRUE,Title,Default Title,ATF-CSMO-001,deny,manual,84.00,,TRUE,TRUE,Captain Cosmo — AI Space Explorer Toy for Kids 6-12,Nightly space missions and point-at-the-sky star identification. The AI astronomy companion for ages 6-12.,active
mimi-the-feelings-fox,Mimi the Feelings Fox,"<p><strong>The gentle fox that helps little ones name big feelings.</strong></p><p>Mimi notices tone, listens patiently, and plays soft games that teach emotional words: 'Is it a thunder-feeling or a butterfly-feeling?' Developed with child-development guidance for the trickiest ages.</p><ul><li>🦊 Feeling-words games, calm-down breathing adventures</li><li>💤 Wind-down mode for transitions (bedtime, school mornings)</li><li>👪 Parent notes: the feelings vocabulary your child is building</li><li>🔒 Privacy-first: no camera, conversations auto-delete</li></ul><p><em>Ages 3–7 · Machine-washable plush</em></p>",AI Toys Fun,Talking Companion,"talking-companions,ages-3-5,ages-6-8,emotional-learning",TRUE,Title,Default Title,ATF-MIMI-001,deny,manual,74.00,,TRUE,TRUE,Mimi the Feelings Fox — Emotional Learning AI Plush,A gentle AI fox that helps kids 3-7 name feelings and practice calm-down breathing. Privacy-first design.,active
quizzy-trivia-rocket,Quizzy the Trivia Rocket,"<p><strong>Family game night, powered by a rocket that never runs out of questions.</strong></p><p>Quizzy hosts trivia adapted to each player — 7-year-olds get dinosaur questions while parents sweat over geography — so everyone competes on equal footing.</p><ul><li>🚀 Infinite trivia, auto-balanced per player age</li><li>🏆 Team mode, lightning round, and sore-loser-proof scoring</li><li>🎉 Confetti sounds, dramatic drumrolls, terrible puns</li><li>👥 2-8 players</li></ul><p><em>Ages 5+ (fun for grown-ups too) · Wi-Fi required</em></p>",AI Toys Fun,Game,"learn-through-play,family-games,ages-6-8,ages-9-12",TRUE,Title,Default Title,ATF-QZZY-001,deny,manual,64.00,79.00,TRUE,TRUE,Quizzy Trivia Rocket — AI Family Trivia Game,The AI trivia host that balances questions per player age so kids beat parents fairly. Family game night for ages 5+.,active
blocko-builder-set,Blocko Smart Builder Set,"<p><strong>Building blocks that know what you're building.</strong></p><p>Stack the 60-piece set and Blocko's scanner tower recognizes your creation — then challenges you: 'Can you make it taller? Add a bridge? Build it mirror-flipped?' Engineering thinking, disguised as play.</p><ul><li>🧱 60 chunky blocks + AI scanner tower</li><li>🏗️ 100+ adaptive build challenges, easy to expert</li><li>📐 Sneaks in symmetry, balance and planning skills</li><li>🔒 All recognition happens on-device</li></ul><p><em>Ages 4–9 · No screen, no app</em></p>",AI Toys Fun,STEM Toy,"learn-through-play,creative-play,building,ages-3-5,ages-6-8",TRUE,Title,Default Title,ATF-BLKO-001,deny,manual,99.00,,TRUE,TRUE,Blocko Smart Builder Set — AI Building Blocks for Kids,AI-recognizing building blocks that challenge kids to build taller and smarter. Screen-free engineering play ages 4-9.,active
gigglebot-joke-machine,GiggleBot the Joke Machine,"<p><strong>Warning: contains industrial quantities of dad jokes.</strong></p><p>GiggleBot tells jokes tuned to your kid's sense of humor, teaches them to land their own punchlines, and hosts nightly two-minute comedy shows starring... your child.</p><ul><li>😂 Endless age-appropriate jokes, riddles and tongue-twisters</li><li>🎤 'Open mic mode' coaches kids to tell their own jokes</li><li>🎭 Knock-knock battle mode</li><li>🔇 Groan-detector adjusts cheesiness levels automatically</li></ul><p><em>Ages 4–10 · Wi-Fi required for fresh jokes</em></p>",AI Toys Fun,Talking Companion,"talking-companions,creative-play,ages-3-5,ages-6-8,gifts",TRUE,Title,Default Title,ATF-GGLE-001,deny,manual,49.00,,TRUE,TRUE,GiggleBot Joke Machine — AI Comedy Toy for Kids,Endless kid-safe jokes plus an open-mic mode that teaches your child comic timing. Ages 4-10.,active
